ID,Title,Description,Type (Tier 1 Category),Category (Tier 2 Category) (1) 2
PL7,Final Fixture Installation and System Performance Testing (PL7),"Install all previously selected fixtures: sinks, faucets, toilets, and shower heads. Tap into the main water supply and test the full system. Open all faucets to bleed out air and flush the lines. Expect temporary discoloration in the water as debris and solvents are cleared. (PL17 & PL18)",systems,plumbing
PL8,"Final Inspection, Corrections, Payment, and Compliance Documentation (PL8)","Schedule and conduct the final plumbing inspection, ideally with the inspector present so you can clarify any issues. Address and correct all deficiencies found. Pay the plumbing subcontractor for final work and obtain a signed affidavit. Finally, pay the remaining plumber retainage to close out the project. (PL19, PL20, PL21 & PL22)",systems,plumbing
HV1,HVAC Energy Audit & Requirements (HV1),"Conduct an energy audit (often with help from local gas/electric companies) to determine your home’s heating/cooling needs, decide whether to use a gas or electric dryer (and its location), and select the most suitable HVAC system by balancing cost and efficiency. (HV1, HV2)",systems,hvac
HV2,HVAC Bidding & Design (HV2),"Manage the bidding process for the entire HVAC job (including a separate quote for ductwork), then finalize the HVAC system design by confirming equipment placement and the dryer exhaust location, ideally consulting with a gas company representative or inspector to prevent future issues. (HV3, HV4)",systems,hvac
HV3,"HVAC Rough-In (Install, Inspect & Pay) (HV3)","Install internal HVAC components (ducts, vents, returns) but hold off on external fixtures (like compressors) to avoid theft, schedule and attend the rough-in inspection with the county inspector, address any deficiencies noted, and then issue payment to the HVAC subcontractor for the rough-in phase—ensuring you receive a signed receipt. (HV5, HV6, HV7, HV8)",systems,hvac
HV4,HVAC Finish Work (HV4),"Complete the HVAC system by installing the remaining components, such as the thermostat, registers, and the air conditioning compressor (charged with refrigerant), and verify the compressor’s placement (arranging for a concrete pad if needed). (HV9)",systems,hvac
HV5,"HVAC Final Inspection, Gas Hookup & Payments (HV5)","Schedule the final HVAC inspection (ideally with the HVAC subcontractor and electrician present), correct any new deficiencies, contact the gas company to hook up service lines, note the gas-line route on your plat diagram, and finalize all HVAC payments—including any retainage—once the system is tested and fully operational. (HV10, HV11, HV12, HV13, HV14, HV15)",systems,hvac
EL1,"Electrical: Determine requirements, fixtures, appliances, and bidding","Determine electrical requirements by deciding where to place lighting fixtures, outlets, and switches. Make sure no switches are blocked by a door, and consider furniture placement. Even if your blueprint has an electrical diagram, verify or improve it. Investigate low voltage and fluorescent lighting, keeping in mind that fluorescent lights cannot be dimmed. Select electrical fixtures and appliances by visiting lighting distributor showrooms, looking especially for energy-saving fluorescent options (though these cannot use a dimmer). Place special orders early, and test the doorbell sound before buying. Conduct a standard bidding process, obtaining pricing for installing each outlet, switch, and fixture. Electricians typically charge extra for wiring the service panel and any special work; use only a licensed electrician. (EL1, EL2, EL4)",systems,electrical
EL2,Electrical: Arrange phone wiring and jack installations,"Determine if the phone company charges to wire the home for a modular phone system and how much they charge. Even if you plan on using wireless phones, install phone jacks in several locations. Schedule the phone company (or an electrician, if it’s cheaper) to install modular phone wiring and jacks. Also consider transferring your existing phone number to your new home so you can keep the same number. (EL3, EL5)",systems,electrical
EL3,Electrical: Secure temporary hookup and install pole,"Apply for and obtain permission to hook up the temporary pole to the public power system, possibly placing a deposit. Arrange for the hookup early enough so that power is available by the time framing starts. Install the temporary electric pole within approximately 100 feet of the center of the house foundation (closer if possible). (EL6, EL7)",systems,electrical
EL4,"Electrical: Oversee rough-in wiring (electrical, phone, cable, security)","Perform rough-in electrical by running wiring through wall studs and ceiling joists. Mark locations where outlets and switches should go, or the electrician will place them at his discretion. Provide blocking near outlets if necessary. This ensures that lights, switches, and outlets align with furniture and other planned elements. Install modular phone wiring and jacks, as well as any other desired wiring, such as speaker, cable TV, security, or computer lines. Pre-wiring is much easier now than after the walls are closed up. Many security system contractors pre-wire for free if you purchase their system. (EL8, EL9)",systems,electrical
EL5,"Electrical: Schedule rough-in inspection, corrections, and payment","Schedule the electrical inspection (usually done by the electrician). Once the county inspector reviews and signs off on the rough-in wiring, correct any issues they note. After the inspection is passed and any corrections are made, pay the electrical subcontractor for the rough-in work, keeping a receipt or proof of payment. (EL10, EL11, EL12, EL13)",systems,electrical
EL6,Electrical: Coordinate garage doors and electric openers,"Install garage doors first (often handled by a specialist, not the electrician). Ensure that the garage door is properly in place so the electrician can hook up the opener. Next, install electric garage door openers and wire the necessary electrical connections. Keep remote controls in a secure location. (EL14, EL15)",systems,electrical
EL7,"Electrical: Supervise finish installations, final inspections, and activate services","Perform all finish electrical work, terminating wiring for switches, outlets, and other devices. Install major appliances such as refrigerators, washers, dryers, ovens, vent hoods, garage door openers, exhaust fans, and doorbells; the air compressor is also wired at this stage. Call the phone company to connect service. Schedule a final electrical inspection and have the electrician present to address any last-minute issues. Store appliance manuals and warranties safely. Correct any electrical problems if they arise, and then call the electrical utility to connect service. (EL16, EL17, EL18, EL19, EL20)",systems,electrical
EL8,"Electrical: Final payment, affidavit, and retainage","Pay the electrical subcontractor the final amount, ensuring you get an affidavit signed. After power is turned on and all switches and outlets have been tested, pay the retainage (remaining balance) to fully finalize the contract. (EL21, EL22)",systems,electrical
SC1,"Select Siding materials, color, and style; conduct bidding. (SC1)","Choose appropriate siding materials that match the desired aesthetic and performance requirements. Consider color, style, and coverage needs. Once decided, conduct a standard bidding process to compare pricing and contractor offerings. SC1, SC2",Seathing,siding
SC2,Order Windows/doors; verify dimensions and install correctly. (SC2),"Order all necessary windows and doors, ensuring that the dimensions are verified precisely before delivery. During installation, use proper shims, secure locks, and install all hardware according to manufacturer specifications for durability and performance. SC3, SC4",Seathing,siding
SC3,"Oversee Siding install, trim, caulking, inspection, and payments. (SC3)","Supervise the installation of siding elements including flashing, trim, and caulking. Conduct a thorough inspection of the completed work, resolve any identified deficiencies, manage subcontractor payments while holding retainage as agreed, and ensure solutions are in place for material shrinkage over time. SC5, SC6, SC7, SC8, SC9, SC10, SC15, SC17",Seathing,siding
SC4,"Install Siding cornice; inspect, fix issues, and release retainage. (SC4)","Install all cornice components including fascia, frieze boards, soffits, and eave vents. Schedule and complete an official inspection, correct any problems noted, handle final payment to the subcontractor, and release retainage once the work is approved. SC11, SC12, SC13, SC14, SC18",Seathing,siding
SC5,Arrange Siding trim painting and caulking. (SC5),Coordinate the painting and caulking of exterior trim to ensure a weather-resistant and visually consistent finish. SC16,Seathing,siding
DR7,Finalize Drywall Subcontract – DR7,"Pay the drywall subcontractor, collect a signed affidavit, and release final retainage after confirming quality, ideally post-first paint coat. (DR7, DR8)",Seathing,drywall
DR1,Manage Drywall Procurement – DR1,"Handle the drywall bidding process, refer to contract specs, ask painters for quality sub referrals, and order materials if not supplied. Mark stud locations on floors before installation. (DR1, DR2)",Seathing,drywall
DR3,Install and Finish Drywall – DR3,"Hang drywall on all walls with metal edging on outside corners and tape on inside corners. Spackle and sand all joints and nail dimples through multiple coats to achieve a smooth finish. (DR3, DR4)",Seathing,drywall
DR5,Inspect and Repair Drywall – DR5,"Use angled lighting to inspect drywall surfaces. Mark imperfections with a pencil and coordinate repairs. Save large scraps for potential future use. (DR5, DR6)",Seathing,drywall
IN1,Plan Insulation work and bidding – IN1,"DETERMINE insulation requirements with help from local energy guidelines, and PERFORM standard bidding process to select a subcontractor. IN1, IN2",Seathing,insulation
IN3,Install Insulation in walls and bathrooms – IN3,"INSTALL wall insulation in small spaces, around chimneys, offsets, and pipe penetrations. Ensure vapor barrier is securely stapled. INSTALL soundproofing insulation in bathrooms for noise control. IN3, IN4",Seathing,insulation
IN5,Install Insulation in floors and attic – IN5,"INSTALL floor insulation in crawl spaces and basement foundations using fiberglass and foam-in techniques. INSTALL attic insulation using batts or blown-in material. Layer properly to reduce air leaks and protect HVAC vents. IN5, IN6",Seathing,insulation
IN7,Inspect and correct Insulation work – IN7,"INSPECT insulation work for vapor barrier placement and thorough sealing around fixtures, plumbing, doors, and windows. CORRECT any issues found during inspection. IN7, IN8",Seathing,insulation
IN9,Finalize Insulation subcontractor payment – IN9,"PAY insulation subcontractor and obtain signed affidavit. PAY remaining retainage after final approval. IN9, IN10",Seathing,insulation
FR1,Plan Framing Materials and Labor – FR1,"Conduct bidding processes for framing materials and labor. Discuss framing requirements with crew, including special angles and custom materials. Order necessary special items and ensure temporary electric is available. (FR1, FR2, FR3, FR4)",structural,framing
FR5,Prepare and Start Framing – FR5,"Order and receive initial lumber load. Prepare site with flat platform, chalk line layout, and install sill felt, sill plates, and support columns. (FR5, FR6, FR7, FR8)",structural,framing
FR9,Supervise and Frame First Floor – FR9,"Oversee daily framing work. Frame floor joists, subfloor, stairs, exterior walls, and insert large items. Plumb and align walls for accuracy. (FR9, FR10, FR11, FR12, FR13, FR14)",structural,framing
FR15,Frame Second Floor – FR15,"Frame second floor joists, subfloor, exterior walls, and insert large items. Plumb and align walls. Install ceiling joists and confirm window/door opening dimensions. (FR15, FR16, FR17, FR18, FR19)",structural,framing
FR20,Construct Roof Structure – FR20,"Frame roof using trusses or stick-built method. Install roof deck with staggered sheathing and ply clips. (FR20, FR21)",structural,framing
FR22,Review and Dry-in Structure – FR22,"Make first framing payment after reviewing items. Install tar paper to dry-in structure. Frame chimney chases and install fireplaces. (FR22, FR23, FR24, FR25)",structural,framing
FR26,Frame Architectural Features – FR26,"Frame dormers, skylights, tray ceilings, skylight shafts, and bay windows. (FR26, FR27)",structural,framing
FR28,Install and Inspect Wall Sheathing – FR28,"Apply and inspect exterior wall sheathing for gaps and punctures. (FR28, FR29)",structural,framing
FR30,Finish Exterior Framing – FR30,"Remove temporary bracing and install exterior windows and doors with proper waterproofing. Apply dead wood for drywall support. (FR30, FR31, FR32)",structural,framing
FR33,Install Roofing and Decks – FR33,"Install roof ventilators and pressure-treated framing for exterior decks. (FR33, FR34)",structural,framing
FR35,Inspect and Finalize Framing – FR35,"Conduct final framing inspection, schedule loan officer visit, and correct any outstanding framing issues. (FR35, FR36, FR37)",structural,framing
FR38,Close Out Framing Contracts – FR38,"Pay framing labor and retainage after final inspection approval and signed affidavit. (FR38, FR39)",structural,framing
,,,,
,,,,
,,,,
LD1,Evaluate and Plan Landscaping Site – LD1,"Evaluate the lot for trees, drainage, sun exposure, and home position. Develop and finalize a site plan with a landscape architect. Submit plans to officials and bank. (LD1, LD2, LD3, LD4, LD5, LD6)",finishings,landscaping
LD7,Prepare Lot with Fill and Soil – LD7,"Deliver clean, dry fill dirt and separate topsoil. Pay landscape architect if hired. (LD7, LD8)",finishings,landscaping
LD9,Test and Treat Soil – LD9,"Conduct soil tests, till the soil, apply conditioners, and treat as needed with fertilizer or gypsum. (LD9, LD10, LD11)",finishings,landscaping
LD12,Install Base Landscaping Systems – LD12,"Install underground sprinklers and plant flower bulbs. (LD12, LD13)",finishings,landscaping
LD14,Apply Grass and Water Lawn – LD14,"Apply seed or sod, soak lawn or sprinkle lightly depending on method, and roll with a heavy cylinder. (LD14, LD15)",finishings,landscaping
LD16,Plant and Prepare Landscape Features – LD16,"Install bushes and trees, prepare landscaped islands with mulch or straw, and install the mailbox if needed. (LD16, LD17, LD18)",finishings,landscaping
LD19,Inspect and Finalize Landscaping – LD19,"Inspect all landscaping work, correct any issues, pay the landscaping subcontractor, and release retainage once grass is established. (LD19, LD20, LD21, LD22)",finishings,landscaping
TR1,Plan Trim Materials and Treatments – TR1,"Determine trim needs, review millwork samples, mark walls for different treatments, and select moulding, window, and door frames. (TR1, TR2)",finishings,trim
TR3,Install Trim Windows and Doors – TR3,"Install windows and exterior doors after framing. Emphasize high-quality trim around visible openings. Conduct standard bidding process. (TR3, TR4)",finishings,trim
TR5,Install Interior Doors and Casings – TR5,"Install interior doors, adjust door stops, and add window casings, aprons, and trim for cased openings. (TR5, TR6, TR7)",finishings,trim
TR8,Install Trim Moulding Details – TR8,"Add staircase moulding, crown moulding, base/base cap moulding, chair rails, and picture moulding. (TR8, TR9, TR10, TR11, TR12)",finishings,trim
TR13,Finish and Protect Trim Elements – TR13,"Install, sand, and stain paneling. Clean sliding door tracks and install thresholds, weather stripping, and shoe moulding. (TR13, TR14, TR15, TR16)",finishings,trim
TR17,Add Trim Hardware and Security – TR17,"Install hardware: door knobs, stops, locks, window hardware. Re-key locks and secure sliding doors. (TR17)",finishings,trim
TR18,Inspect and Correct Trim Work – TR18,"Inspect all trim work, correct imperfections, and complete any stain touch-ups. (TR18, TR19)",finishings,trim
TR20,Finalize Trim Subcontract – TR20,Pay the trim subcontractor upon completion. (TR20),finishings,trim
CB1,Plan Cabinetry Design and Layout – CB1,"Confirm kitchen design, select cabinetry and countertop styles/colors, and complete layout diagrams for kitchen and baths. Include plumbing connection locations. (CB1, CB2, CB3)",finishings,cabinentry
CB4,Coordinate Cabinetry Procurement – CB4,"Perform bidding process, purchase or construct cabinetry and countertops. Coordinate with subs, confirm appliance dimensions, and walk through structure to verify measurements after framing. (CB4, CB5)",finishings,cabinentry
CB6,Finish Cabinetry Surfaces – CB6,"Stain, seal, or paint all cabinet woodwork before installation to avoid staining other areas. (CB6)",finishings,cabinentry
CB7,Install Cabinetry Fixtures – CB7,"Install bathroom vanities, kitchen wall and base cabinets, making necessary cutouts. Install utility room cabinetry and countertops. (CB7, CB8, CB9, CB10, CB12)",finishings,cabinentry
CB11,Install Cabinetry Hardware – CB11,"Install and adjust all hardware including pulls, hinges, and related fixtures. (CB11)",finishings,cabinentry
CB13,Seal and Finish Cabinetry – CB13,Caulk all joints between cabinetry and walls for a finished appearance. (CB13),finishings,cabinentry
CB14,Inspect and Touch Up Cabinetry – CB14,"Inspect all cabinetry and countertops, and repair any marks or scratches. (CB14, CB15)",finishings,cabinentry
CB16,Finalize Cabinetry Subcontract – CB16,Pay the cabinetry subcontractor and obtain a signed affidavit. (CB16),finishings,cabinentry
FL1,Select Flooring Materials and Coverage – FL1,"Choose carpet, hardwood, vinyl, and tile types, brands, colors, styles, and coverage. Limit variations for better pricing and less waste. (FL1, FL2, FL3, FL4)",finishings,flooring
FL5,Conduct Flooring Bidding Process – FL5,Get bids from suppliers and installers for flooring materials and labor. Use specialists for best pricing and installation options. (FL5),finishings,flooring
FL6,Order and Prepare Tile Installation – FL6,"Order tile and grout, ensuring consistent batches. Clean and prep the subfloor, fix squeaks, and install tile bases in showers. (FL6, FL7, FL8)",finishings,flooring
FL9,Install Tile Flooring and Thresholds – FL9,"Apply tile adhesive, install tile and marble thresholds with spacers, and ensure secure tubs. Save extra tiles for future repairs. (FL9, FL10)",finishings,flooring
FL11,Grout and Seal Tile Flooring – FL11,"Apply grout and sealant, inspect work, correct any issues, and seal grout after curing for three weeks. (FL11, FL12, FL13, FL14)",finishings,flooring
FL15,Finalize Tile Subcontract – FL15,"Pay tile subcontractor and retainage after confirming floor stability and proper adhesion. Get a signed affidavit. (FL15, FL16)",finishings,flooring
